"","Trip","Station","CollectionDate","Depth","Value","month","year","Elevation","TripTypeFk","ChannelMile"
"1","LP680710","LPCR2387",1968-07-10 15:45:00,1.6404204724409,25.6,7,1968,3548.6,2,148.321351049865
"2","LP680710","LPCR2387",1968-07-10 15:45:00,48.5564459842508,23.3,7,1968,3548.6,2,148.321351049865
"3","LP680710","LPCR2387",1968-07-10 15:45:00,68.5695757480298,20,7,1968,3548.6,2,148.321351049865
"4","LP680710","LPCR1679",1968-07-11 09:30:00,1.6404204724409,26.7,7,1968,3548.51,2,104.328256561677
"5","LP680710","LPCR1679",1968-07-11 09:30:00,48.5564459842508,21.1,7,1968,3548.51,2,104.328256561677
"6","LP680710","LPCR1679",1968-07-11 09:30:00,98.4252283464542,16.7,7,1968,3548.51,2,104.328256561677
"7","LP680710","LPCR1679",1968-07-11 09:30:00,148.622094803146,8.9,7,1968,3548.51,2,104.328256561677
"8","LP680710","LPCR1679",1968-07-11 09:30:00,188.648354330704,7.8,7,1968,3548.51,2,104.328256561677
"9","LP680710","LPCR1169",1968-07-11 12:10:00,48.5564459842508,21.1,7,1968,3548.51,2,72.6383156167961
"10","LP680710","LPCR1169",1968-07-11 12:10:00,98.4252283464542,16.7,7,1968,3548.51,2,72.6383156167961
"11","LP680710","LPCR1169",1968-07-11 12:10:00,198.490877165349,7.8,7,1968,3548.51,2,72.6383156167961
"12","LP680710","LPCR1169",1968-07-11 12:10:00,213.582745511806,7.8,7,1968,3548.51,2,72.6383156167961
"13","LP680710","LPCR1169",1968-07-11 12:10:00,1.6404204724409,27.8,7,1968,3548.51,2,72.6383156167961
"14","LP680710","LPCR1169",1968-07-11 12:10:00,148.622094803146,8.9,7,1968,3548.51,2,72.6383156167961
"15","LP680710","LPCR0905",1968-07-11 14:00:00,48.5564459842508,21.1,7,1968,3548.51,2,56.234110892387
"16","LP680710","LPCR0905",1968-07-11 14:00:00,98.4252283464542,16.7,7,1968,3548.51,2,56.234110892387
"17","LP680710","LPCR0905",1968-07-11 14:00:00,148.622094803146,8.9,7,1968,3548.51,2,56.234110892387
