Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,-1.5,-1.3,-1.2,-1.2,-1.1,-0.9,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8
1951,-0.8,-0.5,-0.2,0.2,0.4,0.6,0.7,0.9,1,1.2,1,0.8
1952,0.5,0.4,0.3,0.3,0.2,0,-0.1,0,0.2,0.1,0,0.1
1953,0.4,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8
1954,0.8,0.5,0,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7
1955,-0.7,-0.6,-0.7,-0.8,-0.8,-0.7,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5
1956,-1.1,-0.8,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4
1957,-0.2,0.1,0.4,0.7,0.9,1.1,1.3,1.3,1.3,1.4,1.5,1.7
1958,1.8,1.7,1.3,0.9,0.7,0.6,0.6,0.4,0.4,0.4,0.5,0.6
1959,0.6,0.6,0.5,0.3,0.2,-0.1,-0.2,-0.3,-0.1,0,0,0
1960,-0.1,-0.1,-0.1,0,0,0,0.1,0.2,0.3,0.2,0.1,0.1
1961,0,0,0,0.1,0.2,0.3,0.1,-0.1,-0.3,-0.3,-0.2,-0.2
1962,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,0,-0.1,-0.1,-0.2,-0.3,-0.4
1963,-0.4,-0.2,0.2,0.3,0.3,0.5,0.9,1.1,1.2,1.3,1.4,1.3
1964,1.1,0.6,0.1,-0.3,-0.6,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8
1965,-0.6,-0.3,-0.1,0.2,0.5,0.8,1.2,1.5,1.9,2,2,1.7
1966,1.4,1.2,1,0.7,0.4,0.2,0.2,0.1,-0.1,-0.1,-0.2,-0.3
1967,-0.4,-0.5,-0.5,-0.4,-0.2,0,0,-0.2,-0.3,-0.4,-0.3,-0.4
1968,-0.6,-0.7,-0.6,-0.4,0,0.3,0.6,0.5,0.4,0.5,0.7,1
1969,1.1,1.1,0.9,0.8,0.6,0.4,0.4,0.5,0.8,0.9,0.8,0.6
1970,0.5,0.3,0.3,0.2,0,-0.3,-0.6,-0.8,-0.8,-0.7,-0.9,-1.1
1971,-1.4,-1.4,-1.1,-0.8,-0.7,-0.7,-0.8,-0.8,-0.8,-0.9,-1,-0.9
1972,-0.7,-0.4,0.1,0.4,0.7,0.9,1.1,1.4,1.6,1.8,2.1,2.1
1973,1.8,1.2,0.5,-0.1,-0.5,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2
1974,-1.8,-1.6,-1.2,-1,-0.9,-0.8,-0.5,-0.4,-0.4,-0.6,-0.8,-0.6
1975,-0.5,-0.6,-0.7,-0.7,-0.8,-1,-1.1,-1.2,-1.4,-1.4,-1.6,-1.7
1976,-1.6,-1.2,-0.7,-0.5,-0.3,0,0.2,0.4,0.6,0.8,0.9,0.8
1977,0.7,0.6,0.3,0.2,0.2,0.3,0.4,0.4,0.6,0.7,0.8,0.8
1978,0.7,0.4,0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.1,0
1979,0,0.1,0.2,0.3,0.2,0,0,0.2,0.3,0.5,0.5,0.6
1980,0.6,0.5,0.3,0.4,0.5,0.5,0.3,0,-0.1,0,0.1,0
1981,-0.3,-0.5,-0.5,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1
1982,0,0.1,0.2,0.5,0.7,0.7,0.8,1.1,1.6,2,2.2,2.2
1983,2.2,1.9,1.5,1.3,1.1,0.7,0.3,-0.1,-0.5,-0.8,-1,-0.9
1984,-0.6,-0.4,-0.3,-0.4,-0.5,-0.4,-0.3,-0.2,-0.2,-0.6,-0.9,-1.1
1985,-1,-0.8,-0.8,-0.8,-0.8,-0.6,-0.5,-0.5,-0.4,-0.3,-0.3,-0.4
1986,-0.5,-0.5,-0.3,-0.2,-0.1,0,0.2,0.4,0.7,0.9,1.1,1.2
1987,1.2,1.2,1.1,0.9,1,1.2,1.5,1.7,1.6,1.5,1.3,1.1
1988,0.8,0.5,0.1,-0.3,-0.9,-1.3,-1.3,-1.1,-1.2,-1.5,-1.8,-1.8
1989,-1.7,-1.4,-1.1,-0.8,-0.6,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1
